,KE557,KE558,KE521,FA501,MM556,FA508,BMB528,FY528,BMB530,BMB504,FA515,FA511,SU520,KE505,FA503,SU517,FA507,BB555,FA505,FA504,SU511,SU518,FA506,FA514,SU519,SFAB20001U,SFAB20002U,SFAB20004U,SFAB20006U,SFAB20023U,SFAB20025U,SFAB20027U,SFAB20029U,SFAB20012U,SFAB20013U,SFAB20017U,SFAB20015U,SFAB20033U,SFAB20035U,SFAB20031U,SFAB23001U,SFAB20008U,SFAB20010U,SFABIL117U,SFAB20019U,
SFAB20029U,0.2491,0.3912,0.1827,0.1651,0.1195,0.1297,0.1015,0.0703,0.1281,0.0649,0.2448,0.185,0.1257,0.2001,0.1337,0.1046,0.1191,0.1225,0.1541,0.1675,0.0773,0.1046,0.1193,0.1398,0.1158,0.0787,0.2699,0.1194,0.5302,0.2864,0.1555,0.1526,1.0,0.0737,0.1266,0.2043,0.3127,0.0791,0.1498,0.1435,0.0983,0.1313,0.1706,0.0936,0.1125,0.1899
SFAB20012U,0.1269,0.1129,0.0891,0.1338,0.1185,0.0994,0.1128,0.0587,0.11,0.0406,0.1226,0.0802,0.1227,0.0477,0.0939,0.1046,0.1163,0.1315,0.0822,0.1435,0.3981,0.0955,0.0659,0.102,0.1158,0.0794,0.0987,0.0801,0.0513,0.0886,0.1119,0.1426,0.0737,1.0,0.0951,0.0553,0.1108,0.3547,0.0984,0.076,0.1537,0.0764,0.1044,0.1255,0.1374,0.1334
SFAB20013U,0.1133,0.1041,0.0634,0.1014,0.1115,0.0847,0.0598,0.0465,0.0782,0.0326,0.1056,0.0813,0.2009,0.023,0.0602,0.1636,0.094,0.0924,0.0777,0.0844,0.0993,0.1664,0.0734,0.0725,0.1707,0.1024,0.1525,0.246,0.1411,0.129,0.12,0.2116,0.1266,0.0951,1.0,0.137,0.1023,0.0807,0.1388,0.0923,0.281,0.1152,0.0799,0.3093,0.0988,0.1071
SFAB20017U,0.1281,0.1191,0.0757,0.0715,0.1329,0.0808,0.0629,0.0603,0.0763,0.0328,0.2265,0.1002,0.0537,0.0792,0.0807,0.04,0.0659,0.0458,0.0605,0.0827,0.0556,0.0331,0.0524,0.0805,0.0611,0.1098,0.2151,0.1378,0.3026,0.5522,0.1247,0.1258,0.2043,0.0553,0.137,1.0,0.096,0.0544,0.1492,0.0815,0.0778,0.0699,0.1664,0.083,0.0644,0.0976
SFAB20015U,0.1799,0.1863,0.132,0.1449,0.1352,0.1137,0.1104,0.066,0.1149,0.0913,0.183,0.1574,0.1147,0.1172,0.1161,0.0841,0.1265,0.0981,0.1194,0.1319,0.0941,0.0895,0.0942,0.1138,0.1013,0.0581,0.158,0.1209,0.2148,0.1439,0.1099,0.1641,0.3127,0.1108,0.1023,0.096,1.0,0.0849,0.1681,0.096,0.1069,0.2646,0.1183,0.0969,0.1112,0.1299
SFAB20033U,0.1018,0.0974,0.0652,0.1226,0.1178,0.0953,0.0582,0.0494,0.0591,0.0262,0.0737,0.0809,0.0786,0.028,0.0783,0.0586,0.1206,0.0837,0.0512,0.0799,0.2464,0.0557,0.0451,0.091,0.0953,0.0742,0.0948,0.0817,0.0503,0.0935,0.2228,0.1739,0.0791,0.3547,0.0807,0.0544,0.0849,1.0,0.177,0.0736,0.1246,0.0782,0.0859,0.1008,0.1144,0.1627
SFAB20035U,0.1132,0.12,0.0824,0.2063,0.1388,0.1245,0.0852,0.0627,0.0876,0.0402,0.1674,0.106,0.101,0.0356,0.0865,0.0557,0.2873,0.0962,0.0678,0.126,0.0926,0.0516,0.045,0.0806,0.0979,0.0895,0.1594,0.2009,0.1123,0.2048,0.5226,0.3284,0.1498,0.0984,0.1388,0.1492,0.1681,0.177,1.0,0.1685,0.1372,0.12,0.155,0.1568,0.0813,0.1903
SFAB20031U,0.0735,0.0766,0.0589,0.0744,0.0703,0.0632,0.0809,0.0355,0.0408,0.0253,0.0807,0.3087,0.0402,0.0161,0.2468,0.026,0.0695,0.0367,0.0267,0.2214,0.0489,0.0243,0.0299,0.136,0.0492,0.1771,0.1229,0.1452,0.0939,0.1229,0.1947,0.1621,0.1435,0.076,0.0923,0.0815,0.096,0.0736,0.1685,1.0,0.1154,0.0704,0.4592,0.1093,0.0747,0.2599
SFAB23001U,0.1367,0.1484,0.0657,0.1044,0.1222,0.1779,0.1034,0.0513,0.0858,0.0611,0.1079,0.0857,0.165,0.0387,0.1051,0.1742,0.0813,0.1278,0.1228,0.1118,0.123,0.1646,0.0854,0.1226,0.3014,0.1012,0.0865,0.1246,0.0641,0.1103,0.1157,0.2573,0.0983,0.1537,0.281,0.0778,0.1069,0.1246,0.1372,0.1154,1.0,0.1323,0.1158,0.841,0.3224,0.1113
SFAB20008U,0.1166,0.1095,0.085,0.1109,0.1147,0.1313,0.1019,0.0409,0.073,0.0378,0.0799,0.0882,0.0953,0.0597,0.0878,0.0768,0.1865,0.1018,0.2071,0.1027,0.0876,0.0643,0.0557,0.0825,0.1213,0.11,0.0907,0.0884,0.0961,0.1147,0.1201,0.1386,0.1313,0.0764,0.1152,0.0699,0.2646,0.0782,0.12,0.0704,0.1323,1.0,0.0865,0.1229,0.1143,0.0986
SFAB20010U,0.0821,0.0937,0.0909,0.0868,0.099,0.0746,0.1108,0.0442,0.0616,0.0396,0.1405,0.2094,0.0623,0.0259,0.32,0.0455,0.0924,0.0653,0.04,0.227,0.0853,0.0425,0.0415,0.1248,0.0683,0.1158,0.127,0.0868,0.1815,0.2042,0.1423,0.1286,0.1706,0.1044,0.0799,0.1664,0.1183,0.0859,0.155,0.4592,0.1158,0.0865,1.0,0.1105,0.0933,0.2398
SFABIL117U,0.128,0.1349,0.0623,0.1031,0.1394,0.1875,0.089,0.0485,0.0773,0.0582,0.0974,0.071,0.1759,0.0372,0.0922,0.1709,0.0839,0.119,0.1242,0.0973,0.0945,0.2358,0.0663,0.0935,0.3137,0.0971,0.079,0.1375,0.0677,0.1413,0.1303,0.2635,0.0936,0.1255,0.3093,0.083,0.0969,0.1008,0.1568,0.1093,0.841,0.1229,0.1105,1.0,0.2647,0.1027
SFAB20019U,0.1099,0.1022,0.0744,0.1173,0.0843,0.0694,0.0578,0.034,0.0703,0.0443,0.0724,0.0831,0.118,0.0208,0.084,0.1019,0.0921,0.0802,0.0624,0.0959,0.1156,0.1179,0.0429,0.0867,0.108,0.0693,0.0734,0.0637,0.0706,0.0557,0.0839,0.1159,0.1125,0.1374,0.0988,0.0644,0.1112,0.1144,0.0813,0.0747,0.3224,0.1143,0.0933,0.2647,1.0,0.124
,0.1497,0.1273,0.0991,0.1721,0.1264,0.1,0.116,0.0559,0.0797,0.0319,0.1482,0.1859,0.1128,0.0389,0.1871,0.0818,0.1642,0.12,0.0569,0.1859,0.1106,0.0801,0.0557,0.1505,0.0819,0.1661,0.1299,0.0963,0.1222,0.1601,0.1849,0.1758,0.1899,0.1334,0.1071,0.0976,0.1299,0.1627,0.1903,0.2599,0.1113,0.0986,0.2398,0.1027,0.124,1.0
